YEAR	MONTH	START DATE	END DATE	DAYS	ORGANIZER	STATE	EVENT VENUE	BRAND	EVENT TYPE	SIZE (SQM)	SALES (RM)	COGS (RM)	GP (RM)	GP %	RENTAL (RM)	RENTAL %	SETUP COST (RM)	NET PROFIT (RM)	RENTAL/SQM	RENTAL/DAY
2025	OCTOBER	07/10/2025	19/10/2025	13	Solo	SABAH	SURIA SABAH	AKEMI	SOLO	672	RM 0.00	RM 118,941.00	-RM 118,941.00	0.00%	RM 30,000.00	0.00%	RM 10,304.00	-RM 148,941.00	RM 44.64	RM 2,307.69
2025	OCTOBER	10/10/2025	12/10/2025	3	HOMELOVE	KL	MID VALLEY	AKEMI	EXHIBITION	90	RM 0.00	RM 48,324.00	-RM 48,324.00	0.00%	RM 15,000.00	0.00%	RM 8,494.00	-RM 63,324.00	RM 166.67	RM 5,000.00
2025	OCTOBER	10/10/2025	12/10/2025	3	MYHOME	KL	PAVILION BUKIT JALIL	AKEMI	EXHIBITION	0	RM 0.00	RM 104,754.00	-RM 104,754.00	0.00%	RM 0.00	0.00%	RM 0.00	-RM 104,754.00	RM 0.00	RM 0.00
2025	OCTOBER	10/10/2025	12/10/2025	3	HOMELOVE	PUTRAJAYA	IOIGECC	AKEMI	EXHIBITION	54	RM 0.00	RM 39,954.00	-RM 39,954.00	0.00%	RM 37,620.00	0.00%	RM 7,651.00	-RM 77,574.00	RM 696.67	RM 12,540.00
2025	OCTOBER	10/10/2025	12/10/2025	3	HOMELOVE	PUTRAJAYA	IOIGECC	ZANOTTI	EXHIBITION	4	RM 0.00	RM 22,222.00	-RM 22,222.00	0.00%	RM 15,048.00	0.00%	RM 3,165.00	-RM 37,270.00	RM 3,762.00	RM 5,016.00
2025	OCTOBER	14/10/2025	26/10/2025	13	Solo	PENANG	GURNEY PARAGON	AKEMI	SOLO	2300	RM 0.00	RM 26,784.76	-RM 26,784.76	0.00%	RM 33,600.00	0.00%	RM 5,381.76	-RM 60,384.76	RM 14.61	RM 2,584.62
2025	OCTOBER	17/10/2025	26/10/2025	10	Solo	KL	AEON TAMAN EQUINE	AKEMI	SOLO	2400	RM 0.00	RM 8,830.76	-RM 8,830.76	0.00%	RM 16,800.00	0.00%	RM 3,901.76	-RM 25,630.76	RM 7.00	RM 1,680.00
2025	OCTOBER	17/10/2025	02/11/2025	17	Solo	KEDAH	AMAN CENTRAL	AKEMI	SOLO	53	RM 0.00	RM 73,117.40	-RM 73,117.40	0.00%	RM 46,000.00	0.00%	RM 8,686.40	-RM 119,117.40	RM 867.92	RM 2,705.88
2025	OCTOBER	18/10/2025	20/10/2025	3	HOMELOVE	KL	SPCC	AKEMI	EXHIBITION	72	RM 0.00	RM 55,419.00	-RM 55,419.00	0.00%	RM 17,000.00	0.00%	RM 10,480.00	-RM 72,419.00	RM 236.11	RM 5,666.67
2025	OCTOBER	18/10/2025	20/10/2025	3	HOMELOVE	KL	SPCC	ZANOTTI	EXHIBITION	36	RM 0.00	RM 103,650.00	-RM 103,650.00	0.00%	RM 33,852.02	0.00%	RM 11,411.00	-RM 137,502.02	RM 940.33	RM 11,284.01
2025	OCTOBER	18/10/2025	20/10/2025	3	REX	KL	SCCC SHAH ALAM	AKEMI	EXHIBITION	72	RM 0.00	RM 81,627.20	-RM 81,627.20	0.00%	RM 24,000.00	0.00%	RM 5,505.20	-RM 105,627.20	RM 333.33	RM 8,000.00
