A42	STATUS	PROGRESS	YEAR	MONTH	START DATE	END DATE	DURATION (DAYS)	ORGANIZER	STATE	VENUE	BRAND	EVENT TYPE	CONTRACTOR	AGREEMENT / QUOTATION APPROVAL	FLOORPLAN	BOOTH NO	SIZE (SQM)	SEND FLOORPLAN TO DESIGNER 	3D CHECKED BY MGT	3D APPROVED BY PETER	3D UPLOADED IN NOTION	WEEKEND ACTIVITY(THEME)	LICENSE(FROM MAJLIS)	WORK / LOADING BAY PERMIT	DECO / COFFE TABLE	SEC DEPO REFUND	TOTAL SALES (RM)	RENTAL (RM)	LINK NOTION 	GCAL ID
2026-04-KAI HAO (KL CHEN)-JOHOR-PARADIGMMALL-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	01/04/2026	05/04/2026	5	KAI HAO (KL CHEN)	JOHOR	PARADIGM MALL	AKEMI	SOLO	DREAMART	TRUE	TRUE	P1ExtB 	57.23	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	DONE	DONE		55,690.00			qmjhvi5p20miobh4hpce9c3k88@google.com
2026-04-KAI HAO (KL CHEN)-JOHOR-PARADIGMMALL-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	01/04/2026	05/04/2026	5	KAI HAO (KL CHEN)	JOHOR	PARADIGM MALL	ZANOTTI	SOLO	DREAMART	TRUE	TRUE	P1ExtB 	57.23	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	DONE	DONE		10,971.00			qmjhvi5p20miobh4hpce9c3k88@google.com
2026-04-HOMELOVE-SARAWAK-BCCKKUCHING-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	02/04/2026	05/04/2026	4	HOMELOVE	SARAWAK	BCCK KUCHING	AKEMI	EXHIBITION	YEN CREATIVE	TRUE	TRUE	223-231 (9 BOOTH)	81	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	DONE		222,984.00			vps31p972390ubd67hor7ctnq0@google.com
2026-04-BIGHOME-KL-SCCCSHAHALAM-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	03/04/2026	05/04/2026	3	BIGHOME	KL	SCCC SHAH ALAM	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	A20 	54	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED		87,269.00			goohlen0kl5pc718i7lndou00s@google.com
2026-04-BIGHOME-KL-SCCCSHAHALAM-ZANOTTI	CONFIRMED	COMPLETED	2026	APRIL	03/04/2026	05/04/2026	3	BIGHOME	KL	SCCC SHAH ALAM	ZANOTTI	EXHIBITION	DREAMART	TRUE	TRUE	A02	54	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED		94,932.00			9da4vov4uui72314q47fmh34ac@google.com
2026-04-MEGAHOME-JOHOR-AICCAUSTIN-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	03/04/2026	05/04/2026	3	MEGAHOME	JOHOR	AICC AUSTIN	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	A018-A021	36	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED		107,035.00			p55cn91j9blqg5hl42vade3fnk@google.com
2026-04-PERFECT LIVING-KL-IOIGECC-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	03/04/2026	05/04/2026	3	PERFECT LIVING	KL	IOIGECC	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	011-013, 018-020	54	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED		25,926.00			jnsntogh46k7f8erqck7kg8kks@google.com
2026-04-SYELIN (EV PLAN MKTG)-IPOH-AEONKINTACITY-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	07/04/2026	12/04/2026	6	SYELIN (EV PLAN MKTG)	IPOH	AEON KINTA CITY	AKEMI	SOLO	DREAMART	TRUE	TRUE	CENTRE COURT	271.65	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	DONE	DONE		55,043.00			oki3l2j49uphu9kh3mb86q6164@google.com
2026-04-HOMELOVE-KUANTAN-SULTANAHMADSHAHCONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	09/04/2026	12/04/2026	4	HOMELOVE	KUANTAN	SULTAN AHMAD SHAH CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	096-103 (8 BOOTH)	72	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED		49,411.00			bedeqr1sud43i8cm12s01ohtps@google.com
2026-04-BIGHOME-KL-STADIUMBUKITJALIL-ZANOTTI	CONFIRMED	COMPLETED	2026	APRIL	09/04/2026	12/04/2026	4	BIGHOME	KL	STADIUM BUKIT JALIL	ZANOTTI	EXHIBITION	DREAMART	TRUE	TRUE	F89, F90, F96, F97		TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED					4i2hc5rlnrul2gqorbj2i26j4c@google.com
2026-04-INHOME-JOHOR-SUTERAMALL-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	INHOME	JOHOR	SUTERA MALL 	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	CENTRE COURT		TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	DONE	NO NEED		97,236.00			68qsuhire3ejhvq96kjsan783k@google.com
2026-04-MYHOME-KL-SPCC-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	MYHOME	KL	SPCC	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	A912 		TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED					o875hpap6ed69b5djbhv654luk@google.com
2026-04-HOMEDEC-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	HOMEDEC	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	TRUE	TRUE	D360,D362,D364,D366, E361,E363,E365,E367 (8 BOOTH0	72	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED					7mioic7n4pjtok310fp2cgieug@google.com
2026-04-HOMEDEC-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI C&C	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	HOMEDEC	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI C&C	EXHIBITION	DREAMART	TRUE	TRUE	D360,D362,E361,E363 (4 BOOTH)	36	TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED					6qrh72ko5sivkbcah00sfofeeo@google.com
2026-04-HOMEDEC-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI C&C	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	HOMEDEC	PENANG	SETIA SPICE CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	TRUE	TRUE	A055		TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED					ot10edd9v95a4de4g5blo572n0@google.com
2026-04-MYHOME-KL-SPCC-ERGOTEX	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	MYHOME	KL	SPCC	ERGOTEX	EXHIBITION	DREAMART	TRUE	TRUE	A928		TRUE	TRUE	DONE	TRUE	NO NEED	NO NEED	NO NEED	NO NEED					v6134pu84ihle5euv7l43552v0@google.com
2026-04-KAI HAO (KL CHEN)-SEREMBAN-AEONSEREMBAN2-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	14/04/2026	26/04/2026	13	KAI HAO (KL CHEN)	SEREMBAN	AEON SEREMBAN 2	AKEMI	SOLO	DREAMART	TRUE	TRUE	CENTRE COURT	220.75	TRUE	TRUE	DONE	TRUE	DONE	NO NEED	DONE	IN PROGRESS					mhm9ofesf2dld754q0ds6bnirg@google.com
