A42	STATUS	PROGRESS	YEAR	MONTH	START DATE	END DATE	DURATION (DAYS)	ORGANIZER	STATE	VENUE	BRAND	EVENT TYPE	CONTRACTOR	AGREEMENT / QUOTATION APPROVAL	FLOORPLAN	BOOTH NO	SIZE (SQM)	SEND FLOORPLAN TO DESIGNER 	3D CHECKED BY MGT	3D APPROVED BY PETER	3D UPLOADED IN NOTION	WEEKEND ACTIVITY(THEME)	LICENSE(FROM MAJLIS)	WORK / LOADING BAY PERMIT	DECO / COFFE TABLE	SEC DEPO REFUND	TOTAL SALES (RM)	RENTAL (RM)	LINK NOTION 	GCAL ID
2026-03-HOMELOVE-KL-PAVILIONBUKITJALIL-MY SOFA	CONFIRMED	COMPLETED	2026	MARCH	06/03/2026	08/03/2026	3	HOMELOVE	KL	PAVILION BUKIT JALIL	MY SOFA	EXHIBITION	DREAMART	True	True	195-202 (8 BOOTH)	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED	NO SEC DEPO	0	28215	https://chlorinated-glue-adf.notion.site/KL-MSF-HOMELOVE-PAVILION-BUKIT-JALIL-2c47ce8e74e18045848ed8615d22100d?source=copy_link	a0am4odknl77hd7ki1j880mj88@google.com
2026-03-KAI HAO (KL CHEN)-KL-AEONBIGWANGSAMAJU-ZANOTTI	CONFIRMED	COMPLETED	2026	MARCH	10/03/2026	15/03/2026	6	KAI HAO (KL CHEN)	KL	AEON BIG WANGSA MAJU	ZANOTTI	SOLO	DREAMART	True	True	LEVEL 1 50sqft(near supermarket)	52.02	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE	NO SEC DEPO	3750	1680.77	https://chlorinated-glue-adf.notion.site/KL-Akemi-SOLO-AEON-BIG-WANGSA-MAJU-3137ce8e74e18002afb2f207db83cb81?source=copy_link	n5e1mltsisik1msc5qg2mpbsio@google.com
2026-01-MLE-MELAKA-MITC-AKEMI	CONFIRMED	COMPLETED	2026	JANUARY	30/01/2026	01/02/2026	3	MLE	MELAKA	MITC	AKEMI	EXHIBITION	DREAMART	True	True	E25 (6 BOOTH)	72	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		5007	14000	https://chlorinated-glue-adf.notion.site/MELAKA-Akemi-MLE-MITC-2ee7ce8e74e18028b8c9d71253e797c0?source=copy_link	chrtjpcv8u2t8ic4jn6qkb4kvo@google.com
2026-01-MLE-MELAKA-MITC-ZANOTTI	CONFIRMED	COMPLETED	2026	JANUARY	30/01/2026	01/02/2026	3	MLE	MELAKA	MITC	ZANOTTI	EXHIBITION	DREAMART	True	True	E26 (4 BOOTH)	36	True	False	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		7200	8000	https://chlorinated-glue-adf.notion.site/MELAKA-Zanotti-MLE-MITC-2ee7ce8e74e18080997ecc9ebdae3692?source=copy_link	25747ejp73ff5pqmeiiqf72vts@google.com
2026-04-HOMEDEC-PENANG-SETIASPICECONVENTIONCENTRE-AKEMI C&C	CONFIRMED	COMPLETED	2026	APRIL	10/04/2026	12/04/2026	3	HOMEDEC	PENANG	SETIA SPICE CONVENTION CENTRE	AKEMI C&C	EXHIBITION	DREAMART	True	True	D360,D362,E361,E363 (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	NO NEED	NO NEED		7737.8			6qrh72ko5sivkbcah00sfofeeo@google.com
2026-03-KAI HAO (KL CHEN)-JOHOR-KSLCITYMALL-ZANOTTI	CONFIRMED	COMPLETED	2026	MARCH	10/03/2026	15/03/2026	6	KAI HAO (KL CHEN)	JOHOR	KSL CITY MALL	ZANOTTI	SOLO	DREAMART	True	True	B6-1C (62.5’ (L) x 16(w), 1000 SQFT)	92.94	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE	NO SEC DEPO	9276	2165.2		iacn7mk35eiskaakesgdk8tpag@google.com
2026-01-PERFECT LIFESTYLE-KL-MIDVALLEY-ERGOTEX	CONFIRMED	COMPLETED	2026	JANUARY	16/01/2026	18/01/2026	3	PERFECT LIFESTYLE	KL	MID VALLEY	ERGOTEX	EXHIBITION	DREAMART	True	True	1016-1019 (4 BOOTH)	36	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		9688	15000	https://chlorinated-glue-adf.notion.site/KL-Ergotex-PERFECT-LIFESTYLE-MID-VALLEY-2e07ce8e74e18028b711c5f39a4b4623?source=copy_link	dkh5oidkdgdcuh3s76v3tjsq7k@google.com
2026-07-MLE-PENANG-PISASPICEARENACONVENTIONCENTRE-AKEMI	CONFIRMED		2026	JULY	03/07/2026	05/07/2026	3	MLE	PENANG	PISA SPICE ARENA CONVENTION CENTRE	AKEMI	EXHIBITION	DREAMART	False	False			False	False		False				FALSE		10000			33v4ocj3r407js6n8pfl8cbklc@google.com
2026-04-KAI HAO (KL CHEN)-JOHOR-PARADIGMMALL-AKEMI	CONFIRMED	COMPLETED	2026	APRIL	01/04/2026	05/04/2026	5	KAI HAO (KL CHEN)	JOHOR	PARADIGM MALL	ZANOTTI	SOLO	DREAMART	True	True	P1ExtB 	57.23	True	True	DONE	True	NO NEED	NO NEED	DONE	DONE		10971			qmjhvi5p20miobh4hpce9c3k88@google.com
2026-06-MEGAHOME-PENANG-SETIASPICECONVENTIONCENTRE-ZANOTTI	CONFIRMED		2026	JUNE	05/06/2026	07/06/2026	3	MEGAHOME	PENANG	SETIA SPICE CONVENTION CENTRE	ZANOTTI	EXHIBITION	DREAMART	False	False			False	False		False						12000			s13miskgshfv2g6aq95nosucds@google.com
